Brand Name	Target Domain URL
'47	https://www.47brand.com
100BON	https://www.100bon.com
1928 Jewelry	https://www.1928.com
19nine	https://19nine.com
2(X)IST	https://2xist.com
24seven Comfort Apparel	https://www.24sevencomfort.com
3BRAND (by Russell Wilson)	https://3brandclothing.com
4D Cityscape	https://4dcityscape.com
4M	https://www.4m-ind.com
90 Degree by Reflex	https://90degreebyreflex.com
A2 by Aerosoles	https://www.aerosoles.com
Able	https://www.livefashionable.com
Academie Gear	https://academiegear.com
Achim Home Decor	https://achimonline.com
Acqua Di Parma	https://www.acquadiparma.com
ADDISON BAY	https://addisonbay.com
Adelyn Rae	https://adelynrae.com
adidas Originals	https://www.adidas.com
Adornia	https://adornia.com
Adrianna Papell	https://www.adriannapapell.com
Adrienne Vittadini	https://www.adriennevittadini.com
Affinity Bands	https://affinitybands.com
Airome	https://airome.candlewarmers.com
Algenist	https://www.algenist.com
AllerEase®	https://www.allerease.com
Alternative Apparel	https://www.alternativeapparel.com
Alton Lane	https://www.altonlane.com
Amanti Art	https://www.amantiart.com
American Flyer (Luggage)	https://www.americanflyerluggage.com
American Leather Co.	https://www.americanleatherco.com
American Needle	https://www.americanneedle.com
Amoena	https://www.amoena.com
Anchor Hocking	https://www.anchorhocking.com
André Assous	https://andreassous.com
Angels Forever Young™	https://www.angelsjeans.com
Anna Sui	https://annasui.com
Annette	https://www.annetteinternational.com
Annieglass	https://annieglass.com
Appaman	https://www.appaman.com
Arm & Hammer™	https://www.armandhammer.com
Armani Exchange	https://www.armaniexchange.com
Armen Living	https://www.armenliving.com
Art of Shaving	https://www.theartofshaving.com
Asmodee Editions	https://www.asmodee.us
ASTR the Label	https://www.astrthelabel.com
Audio-Technica	https://www.audio-technica.com
Avanti Linens	https://avantilinens.com
AX Paris	https://www.axparis.com
Ayesha Curry (Home)	https://ayeshacurry.com
Azzaro	https://www.azzaro.com
b.tempt'd by Wacoal	https://www.wacoal-america.com
b.ø.c.	https://www.bocshoes.com
Babe Original	https://babeoriginal.com
Baby Einstein	https://www.babyeinstein.com
Baby Trend	https://babytrend.com
Badgley Mischka	https://www.badgleymischka.com
Baggallini	https://www.baggallini.com
Bananagrams	https://bananagrams.com
Barbour International	https://www.barbourinternational.com
Bardot	https://www.bardot.com
Bartesian	https://bartesian.com
Bass (G.H. Bass)	https://www.ghbass.com
Batiste	https://www.batistehair.com
Baxton Studio	https://www.baxtonstudio.com
BB Dakota by Steve Madden	https://stevemadden.com
BCBG / BCBGMAXAZRIA	https://www.bcbg.com
Beach by Matisse	https://matisseshoes.com
Bebe	https://www.bebe.com
Becca Swim	https://www.beccaswim.com
BedHead PJs	https://www.bedheadpjs.com
Bed Stu	https://www.bedstu.com
Bedsure	https://bedsurehome.com
Bell + Howell	https://bellhowellstore.com
Belldini	https://www.belldini.com
Ben Hogan™	https://www.benhogan.com
Ben Sherman®	https://www.bensherman.com
BergHOFF®	https://berghoffworldwide.com
Berkshire Hosiery	https://www.berkshirehosiery.com
Bermies	https://bermies.com
Bernardo Fashions	https://bernardofashions.com
Betmar Hats	https://www.betmar.com
Better Trends	https://www.bettertrends.com
BGSD	https://bgsd.com
Billabong	https://www.billabong.com
Bill Blass	https://billblass.com
Billini	https://www.billini.com
Billy London	https://www.billylondon.com
BioLite	https://www.bioliteenergy.com
Bissell	https://www.bissell.com
BLACK+DECKER	https://www.blackanddecker.com
Black Clover	https://blackcloverusa.com
BLANK NYC	https://www.blanknyc.com
BlendJet	https://blendjet.com
Bleu Rod Beattie	https://bleurodbeattie.com
Blissy	https://blissy.com
Blondo	https://blondo.com
Blowfish	https://blowfishshoes.com
Blue Orange Games	https://www.blueorangegames.com
Blue Sky Planners	https://www.bluesky.com
Bodum®	https://www.bodum.com
Body Glove®	https://www.bodyglove.com
bogg	https://boggbag.com
Bombas	https://bombas.com
Bond No. 9 New York	https://www.bondno9.com
BONOBOS	https://bonobos.com
Boppy	https://www.boppy.com
Borghese	https://www.borghese.com
Bosca	https://bosca.com
Boxercraft	https://www.boxercraft.com
Bravado Designs	https://bravadodesigns.com
Bric's	https://bricsusa.com
Bright Starts	https://www.brightstarts.com
Briogeo	https://briogeohair.com
Brioni	https://www.brioni.com
Brookstone	https://www.brookstone.com
Bruno Magli	https://www.brunomagli.com
Bubba	https://www.bubbabrands.com
Buddy Love	https://www.buddylove.com
C&C California®	https://www.cccalifornia.com
Cabana Life	https://www.cabanalife.com
Caboodles	https://www.caboodles.com
Calista Tools	https://calistatools.com
Calvin Klein Jeans	https://www.calvinklein.us
Cambridge Silversmiths	https://www.cambridgesilversmiths.com
Camp-Zero	https://www.camp-zero.com
Candle Warmers	https://www.candlewarmers.com
Cannon	https://cannonhome.com
Canvas Home	https://www.canvashomedecor.com
Capelli New York	https://www.capellinewyork.com
Capri Blue	https://www.capri-blue.com
Caravelle by Bulova	https://www.bulova.com
Carhartt	https://www.carhartt.com
Carmen Marc Valvo	https://www.carmenmarcvalvo.com
Caro Home	https://www.carohome.com
Carolina Pet Company	https://www.carolinapetcompany.com
Catan	https://www.catan.com
Catherine Malandrino	https://catherinemalandrino.com
CB Station	https://www.cbstation.com
Chaco	https://www.chacos.com
Charisma	https://charismabrands.com
